LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID69633,69633,0,0.19984391331672668,295.82370136070244,40.44301113361414,0.0,375.0,375,10.5,1,,4.518159806295399,0.0,0.0,31.0,1866.0,8.499445127727705,0.9406076565390575,0.5153138060422957
ID71680,71680,0,0.22586707770824432,26.943020922529882,121.56505743757178,0.0,810.0,810,10.5,1,,4.520581113801453,0.0,0.0,31.0,1867.0,8.593725846996275,0.926250731639567,0.5058928185664768
ID73730,73730,0,0.1883731633424759,363.05067242803926,84.88760246770084,0.0,1367.0,1367,10.5,1,,4.0774818401937045,0.0,0.0,31.0,1684.0,7.795555209356223,0.9712237233575576,0.5154165319549714
ID71684,71684,0,0.25744330883026123,26.603066422669286,122.47585887155479,0.0,808.0,808,10.5,1,,5.113801452784504,0.0,0.0,31.0,2112.0,9.120239326259494,0.990731285837719,0.5580985045337128
ID73735,73735,0,0.16330382227897644,362.7826657337689,82.87457597124676,0.0,1368.0,1368,10.5,1,,3.9152542372881354,0.0,0.0,31.0,1617.0,7.626606769798008,0.9601142257707325,0.5029214201533287
ID69638,69638,0,0.19582875072956085,290.7504059722824,38.383545067648214,0.0,377.0,377,10.5,1,,4.426150121065375,0.0,0.0,31.0,1828.0,8.402351378402765,0.9598569116419081,0.5159854170762119
ID71689,71689,0,0.2260180115699768,25.445053723971522,125.72527238917695,0.0,806.0,806,10.5,1,,4.571428571428571,0.0,0.0,31.0,1888.0,8.47886333417794,0.9587992937021779,0.5278154097890789
ID69643,69643,0,0.18315918743610382,295.0493722504115,39.850185485805085,0.0,374.0,374,10.5,1,,4.3559322033898304,0.0,0.0,31.0,1799.0,8.221844861552137,0.9705862733601796,0.5218918576823485
ID73739,73739,0,0.1933748573064804,363.1665296826152,85.59556686322414,0.0,1366.0,1366,10.5,1,,3.9515738498789346,0.0,0.0,31.0,1632.0,7.55578468629978,0.9976852487572925,0.522380567892162
ID71693,71693,0,0.23143784701824188,28.555925047776384,117.52922627104601,0.0,811.0,811,10.5,1,,4.929782082324455,0.0,0.0,31.0,2036.0,8.739065800696405,0.9841513276464691,0.5596026971850304
ID69647,69647,0,0.19093796610832214,292.4949540846672,38.729382003879756,0.0,378.0,378,10.5,1,,4.1307506053268765,0.0,0.0,31.0,1706.0,7.972790418453461,0.9815497330742255,0.5132819065948994
ID73743,73743,0,0.17304642498493195,363.11752127043104,84.58551456690866,0.0,1369.0,1369,10.5,1,,3.5278450363196128,0.0,0.0,31.0,1457.0,7.133765223722322,0.9093028237339819,0.4710363340193927
ID71697,71697,0,0.20427504181861877,27.809666952843376,119.72952473403952,0.0,809.0,809,10.5,1,,4.658595641646489,0.0,0.0,31.0,1924.0,8.538158492917258,0.9797633339049906,0.5400434529122913
ID73747,73747,0,0.18900302052497864,362.6971700598331,83.42728337660922,0.0,1370.0,1370,10.5,1,,4.138014527845036,0.0,0.0,31.0,1709.0,8.250791837832582,0.9833213066216347,0.49731178215306715
ID71701,71701,0,0.23761342465877533,25.28692678897751,125.6303247478905,0.0,807.0,807,10.5,1,,4.731234866828087,0.0,0.0,31.0,1954.0,8.80797948440028,0.9399231219611536,0.520518324143225
ID69652,69652,0,0.17965178191661835,298.11205948529016,41.111438682129474,0.0,372.0,372,10.5,1,,4.145278450363196,0.0,0.0,31.0,1712.0,8.003228003630941,0.979880349610432,0.5126873689437708
ID73751,73751,0,0.19346991181373596,361.7324739267131,83.72331019070354,0.0,1371.0,1371,10.5,1,,4.072639225181598,0.0,0.0,31.0,1682.0,7.765967081865141,0.9995503922636988,0.524303468112042
ID71705,71705,0,0.20776724815368652,29.918045967795358,114.47408172384168,0.0,812.0,812,10.5,1,,4.322033898305085,0.0,0.0,31.0,1785.0,8.503021948753515,0.9300708025326719,0.48987765959163526
ID69656,69656,0,0.19899384677410126,294.3412126550341,39.68153560177918,0.0,373.0,373,10.5,1,,4.300242130750605,0.0,0.0,31.0,1776.0,8.158141144373623,0.9384915706654258,0.5103852912835835
ID73755,73755,0,0.1822211891412735,360.924162443471,84.11760917159434,0.0,1372.0,1372,10.5,1,,3.891041162227603,0.0,0.0,31.0,1607.0,7.352777833888031,1.0,0.5291933538769908
ID71709,71709,0,0.24404478073120117,28.930859505842125,116.86923024168615,0.0,813.0,813,10.5,1,,4.803874092009686,0.0,0.0,31.0,1984.0,8.815409307891617,0.9429611726670641,0.5289429325544566
ID69660,69660,0,0.17876854538917542,291.0626368263269,38.358662019314515,0.0,376.0,376,10.5,1,,4.060532687651332,0.0,0.0,31.0,1677.0,7.663348447271138,0.933291210801104,0.5115809132935193
ID73759,73759,0,0.18950846791267395,360.0612818189101,84.03165591270825,0.0,1373.0,1373,10.5,1,,4.046004842615012,0.0,0.0,31.0,1671.0,7.753503108678502,1.0,0.5218292668363435
ID69665,69665,0,0.1872955709695816,288.52836123373714,37.51833240265054,0.0,381.0,381,10.5,1,,4.164648910411622,0.0,0.0,31.0,1720.0,8.101720402532157,0.9386162649557828,0.49776844647503043
ID71713,71713,0,0.23669637739658356,30.625039337063836,112.97993791234866,0.0,814.0,814,10.5,1,,5.062953995157385,0.0,0.0,31.0,2091.0,8.89370389222823,0.9820748239383131,0.5641256455315647
