LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID237627,237627,0,0.10648305714130402,99.59571236504821,387.6522121081581,0.0,1197.0,1197,10.5,1,,1.5302663438256658,0.0,0.0,31.0,632.0,5.499971683665452,1.0,0.27823167678671046
ID237634,237634,0,0.13208061456680298,101.77456443888235,388.29105760641363,0.0,1198.0,1198,10.5,1,,1.9128329297820823,0.0,0.0,31.0,790.0,6.08652458453396,0.9990429768286847,0.31412296990051924
ID237637,237637,0,0.14009720087051392,101.13910022315598,388.0940113085087,0.0,1199.0,1199,10.5,1,,2.046004842615012,0.0,0.0,31.0,845.0,6.436419040735122,0.9991052404097696,0.3177370955427547
ID237643,237643,0,0.19389161467552185,104.15256080200913,388.9841405204347,0.0,1201.0,1201,10.5,1,,3.0508474576271185,0.0,0.0,31.0,1260.0,7.7497153413725774,0.9958065318596965,0.39284503586394337
ID237640,237640,0,0.1695532500743866,102.53702819167675,388.6890959914978,0.0,1200.0,1200,10.5,1,,2.5811138014527844,0.0,0.0,31.0,1066.0,7.1967044587863205,1.0,0.35865218812779665
ID237646,237646,0,0.14997249841690063,104.75511319704574,389.1075442902802,0.0,1202.0,1202,10.5,1,,2.3535108958837774,0.0,0.0,31.0,972.0,6.357929726780721,0.9937937200862568,0.369017115536088
ID237649,237649,0,0.20488767325878143,104.57295543401648,389.1054719786676,0.0,1203.0,1203,10.5,1,,3.334140435835351,0.0,0.0,31.0,1377.0,7.901991978777064,0.998353404127653,0.4215890362879962
ID237655,237655,0,0.19316154718399048,105.56208876522034,389.41378734162674,0.0,1205.0,1205,10.5,1,,3.542372881355932,0.0,0.0,31.0,1463.0,7.839795865335815,1.0,0.45184504063667935
ID237652,237652,0,0.21834877133369446,106.25836145638478,389.46264288660933,0.0,1204.0,1204,10.5,1,,3.6973365617433416,0.0,0.0,31.0,1527.0,7.932538231347582,1.0,0.4660975407760798
ID237658,237658,0,0.24244628846645355,107.65670958866063,390.02285075146204,0.0,1206.0,1206,10.5,1,,4.513317191283293,0.0,0.0,31.0,1864.0,8.8653871439578,0.9979730588603094,0.5085777263294662
ID237661,237661,0,0.22865144908428192,108.55600674251733,390.2623426448669,0.0,1207.0,1207,10.5,1,,4.053268765133172,0.0,0.0,31.0,1674.0,8.232487751615704,0.9981942000153033,0.49190547057605943
ID237667,237667,0,0.2538462281227112,110.04420118565588,390.78106010376484,0.0,1209.0,1209,10.5,1,,4.63680387409201,0.0,0.0,31.0,1915.0,8.87145534042032,0.9996050856930578,0.5225623018191979
ID237664,237664,0,0.22707588970661163,108.79439679868072,390.23313430666957,0.0,1208.0,1208,10.5,1,,4.232445520581114,0.0,0.0,31.0,1748.0,8.459739780882924,0.9926705664417171,0.49846423935432704
ID237670,237670,0,0.25466546416282654,111.25247676390839,391.1282126951749,0.0,1210.0,1210,10.5,1,,4.9443099273607745,0.0,0.0,31.0,2042.0,9.141779575477887,0.9996296424166147,0.5407474699680239
ID237673,237673,0,0.2599160373210907,111.43549288584033,391.0074748918829,0.0,1211.0,1211,10.5,1,,4.8692493946731235,0.0,0.0,31.0,2011.0,9.063816287710166,0.9996239343478607,0.5371174226422105
ID237679,237679,0,0.24426117539405823,113.89076026163843,391.72332600280623,0.0,1213.0,1213,10.5,1,,4.760290556900727,0.0,0.0,31.0,1966.0,8.976137292403163,0.993098473475913,0.5284909182964559
ID237676,237676,0,0.25697943568229675,113.10799611173788,391.3947742452335,0.0,1212.0,1212,10.5,1,,5.099273607748184,0.0,0.0,31.0,2106.0,9.075590031646971,0.9931989916792302,0.5599497468074476
ID237682,237682,0,0.2508782148361206,114.15515110637583,391.8160410694517,0.0,1214.0,1214,10.5,1,,4.9225181598062955,0.0,0.0,31.0,2033.0,9.179113133376491,0.9951748108771212,0.5349768900925604
ID237685,237685,0,0.23730897903442383,116.62769395560674,392.409741031543,0.0,1215.0,1215,10.5,1,,4.699757869249395,0.0,0.0,31.0,1941.0,9.045297278356953,1.0,0.5195802553106458
ID237691,237691,0,0.23664584755897522,118.70006054639798,392.7575041020159,0.0,1216.0,1216,10.5,1,,4.418886198547216,0.0,0.0,31.0,1825.0,8.491362357052337,0.9991714006839455,0.5201820992890751
ID237688,237688,0,0.2326502501964569,118.3612820905026,392.6364177424965,0.0,1217.0,1217,10.5,1,,4.200968523002421,0.0,0.0,31.0,1735.0,8.681013711525079,1.0,0.4839260324430931
ID237694,237694,0,0.19563010334968567,119.82461124813197,393.01891253229445,0.0,1218.0,1218,10.5,1,,3.648910411622276,0.0,0.0,31.0,1507.0,7.620248322038289,1.0,0.4788440294090382
ID237697,237697,0,0.21260324120521545,121.50125767693558,393.44150848426494,0.0,1219.0,1219,10.5,1,,4.053268765133172,0.0,0.0,31.0,1674.0,8.430876575020003,0.9995482440860174,0.4806561901551508
ID237703,237703,0,0.2221282571554184,122.77872224415373,393.76186389679305,0.0,1221.0,1221,10.5,1,,4.159806295399516,0.0,0.0,30.0,1718.0,8.685085528767067,0.9995598115396525,0.4788542992131202
ID237700,237700,0,0.21882812678813934,121.18061519077843,393.2334253436957,0.0,1220.0,1220,10.5,1,,4.142857142857143,0.0,0.0,31.0,1711.0,8.345188054296987,1.0,0.49643664299739315
