LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID249858,249858,0,0.8713366985321045,226.65129448667247,242.07216288941507,0.0,1226.0,1226,14.5,1,,25.475300400534046,0.0,0.0,254.0,19081.0,68.20426611182148,1.0,0.3735147645862367
ID241669,241669,0,0.49393486976623535,344.90375393741874,160.1094422688857,0.0,208.0,208,14.5,1,,14.397863818424566,0.0,0.0,254.0,10784.0,53.92289301542112,1.0,0.267008370903004
ID249867,249867,0,0.8313409686088562,225.7891011788759,241.63880886320922,0.0,1225.0,1225,14.5,1,,24.100133511348464,0.0,0.0,254.0,18051.0,65.59529429518548,1.0,0.36740643929266353
ID241676,241676,0,0.5343266129493713,346.4448761797271,158.41396780825565,0.0,210.0,210,14.5,1,,15.857142857142858,0.0,0.0,254.0,11877.0,56.106632081096926,1.0,0.282625106319389
ID241683,241683,0,0.4678581953048706,342.5711970034012,162.56056812124814,0.0,207.0,207,14.5,1,,13.658210947930574,0.0,0.0,254.0,10230.0,52.00687045833346,1.0,0.26262320396442956
ID249876,249876,0,0.8534928560256958,230.22300934503073,243.70333596074374,0.0,1228.0,1228,14.5,1,,25.08010680907877,0.0,0.0,254.0,18785.0,67.54813290396784,1.0,0.37129237672245924
ID241690,241690,0,0.817815363407135,350.5596481482792,154.72117504829248,0.0,219.0,219,14.5,1,,22.1588785046729,0.0,0.0,254.0,16597.0,67.05566860295038,1.0,0.33045496326164336
ID249885,249885,0,0.872738778591156,230.69504252520096,243.85715272364763,0.0,1229.0,1229,14.5,1,,25.774365821094793,0.0,0.0,254.0,19305.0,68.24012795954819,1.0,0.3777010183271269
ID241697,241697,0,0.6393827199935913,348.4544092469005,154.84615971793542,0.0,215.0,215,14.5,1,,18.204272363150867,0.0,0.0,254.0,13635.0,61.184232904025684,1.0,0.2975320846419094
ID249894,249894,0,0.8768895268440247,229.1036504343938,243.21456441889615,0.0,1227.0,1227,14.5,1,,25.560747663551403,0.0,0.0,254.0,19145.0,67.94576011905983,1.0,0.3761934169072784
ID241704,241704,0,0.707103431224823,349.3693313271213,154.1988071335934,0.0,217.0,217,14.5,1,,19.04272363150868,0.0,0.0,254.0,14263.0,62.66900820472073,1.0,0.30386189564867294
ID241711,241711,0,0.6682332158088684,349.05301066003693,153.9197439334982,0.0,216.0,216,14.5,1,,18.384512683578105,0.0,0.0,254.0,13770.0,61.9068350863667,1.0,0.2969706439996445
ID249903,249903,0,0.8628989458084106,231.75340944790884,244.23162851861036,0.0,1231.0,1231,14.5,1,,24.096128170894527,0.0,0.0,254.0,18048.0,66.97921577587681,1.0,0.35975530456379234
ID241718,241718,0,0.6982308030128479,349.18107968501164,154.5089938794912,0.0,218.0,218,14.5,1,,19.009345794392523,0.0,0.0,254.0,14238.0,62.72078579994745,1.0,0.30307888448694226
ID249912,249912,0,0.8911041021347046,231.7293011497418,244.3582932907744,0.0,1230.0,1230,14.5,1,,25.922563417890522,0.0,0.0,254.0,19416.0,68.92126706890026,1.0,0.37611849753104304
ID241725,241725,0,0.7417493462562561,349.6620987956931,152.44566751553347,0.0,221.0,221,14.5,1,,20.823765020026702,0.0,0.0,254.0,15597.0,65.51769097114683,1.0,0.3178342324242963
ID249921,249921,0,0.8810750842094421,232.73179039326882,244.09900879305127,0.0,1232.0,1232,14.5,1,,25.47797062750334,0.0,0.0,254.0,19083.0,68.29165284485767,1.0,0.3730759114204368
ID241732,241732,0,0.6091970205307007,348.1599217990344,155.80093652947716,0.0,214.0,214,14.5,1,,16.82510013351135,0.0,0.0,254.0,12602.0,59.03375369247142,1.0,0.2850081365511584
ID241739,241739,0,0.7137640714645386,349.7834998247292,153.69578677861367,0.0,220.0,220,14.5,1,,18.99599465954606,0.0,0.0,254.0,14228.0,62.812672305177514,1.0,0.30242296597816076
ID249930,249930,0,0.9028570652008057,233.78204255856147,244.49687240454568,0.0,1233.0,1233,14.5,1,,27.124165554072096,0.0,0.0,254.0,20316.0,69.94575297396943,1.0,0.38778859903283125
ID249939,249939,0,0.975294828414917,234.66810164006262,244.41185928358618,0.0,1234.0,1234,14.5,1,,29.251001335113486,0.0,0.0,254.0,21909.0,72.4415937682616,1.0,0.40378737978469287
ID241746,241746,0,0.6088418960571289,350.4681144579789,147.64416189342091,0.0,224.0,224,14.5,1,,16.671562082777037,0.0,0.0,254.0,12487.0,59.07813647128924,1.0,0.2821951246021288
ID241753,241753,0,0.6687803864479065,350.4436090975631,149.22297501492648,0.0,223.0,223,14.5,1,,18.052069425901202,0.0,0.0,254.0,13521.0,61.31440158152068,1.0,0.2944180968952301
ID249948,249948,0,0.9181726574897766,236.73895116619303,244.70601065209138,0.0,1235.0,1235,14.5,1,,26.510013351134848,0.0,0.0,254.0,19856.0,69.47237336978517,1.0,0.38159072542445405
ID241760,241760,0,0.6996389031410217,351.614261638657,140.93235671756872,0.0,228.0,228,14.5,1,,20.798397863818426,0.0,0.0,254.0,15578.0,64.31758766458228,1.0,0.3233703038161592
ID249957,249957,0,0.8985099196434021,237.86180452994273,244.83448644732846,0.0,1237.0,1237,14.5,1,,26.002670226969293,0.0,0.0,254.0,19476.0,69.0186558777445,1.0,0.37674842977279743
